_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,check_the_box_if_the_original_question_is_similar_to_any_of_the_questions_below,check_the_box_if_the_original_question_is_similar_to_any_of_the_questions_below_gold,question_1_body,question_1_title,question_2_body,question_2_title,question_3_body,question_3_title,question_4_body,question_4_title,question_5_body,question_5_title,user_question_body,user_question_title,user_selected_num
945665604,5/3/2016 18:35:07,false,1975244398,,5/3/2016 18:33:04,false,neodev,0.7143,36981626,BIH,01,Sarajevo,109.175.102.83,5,,"<p>My partner and I are having trouble finding the title for our articles. We managed to get the url (given), and the date (changed the xpath to //entry//url), but we cannot access the title. When we try to look at subchildren, it&#39;s empty. We&#39;ve also tried looking at stackoverflow links provided in the previous piazza post, but were unable to get the title. Is there a good way to go about getting the title of these articles?</p>",XML calls in python,"<p>If we are writing a python script to misspell a bunch of sentences and submit that as a hit, how do we get the results of our script (i.e. misspelled paragraphs) and then automatically put that into a hit?</p>",python integration,"<p>I&#39;m running Python 2.7.6, and I directly installed pip with &#34;sudo easy_install pip&#34;. When I follow the instructions to set up the virtualenv, I don&#39;t get anything output. </p>
<p></p>
<p><img src=""https://d1b10bmlvqabco.cloudfront.net/attach/ijblb017ius5zp/hkwvkcmmpdngk/ijwe6f3q6wx/Screen_Shot_20160127_at_12.27.55_AM.png"" /></p>",Setting up python notebook/virtualenv,"<p>I downloaded the newest version of Python (3.5) on Windows but when I go to the command prompt and type in &#34;python --version&#34; as the instructions require, I get a response saying &#34; &#39;python&#39; is not recognized as an internal or external command, operable program or batch file.&#34; However, I am able to open the Python application with no issue. What might be the issue here? Thanks for the help!</p>",Python on Windows,,,Sorry class was rushed; here is the solution to the first problem on the Python assignment.,Sorry class was rushed; here is the solution to the first problem on the Python assignment.,1
945665604,5/3/2016 18:36:08,false,1975245430,,5/3/2016 18:34:36,false,neodev,0.7778,35176006,VEN,13,Barquisimeto,186.91.166.12,0,,"<p>My partner and I are having trouble finding the title for our articles. We managed to get the url (given), and the date (changed the xpath to //entry//url), but we cannot access the title. When we try to look at subchildren, it&#39;s empty. We&#39;ve also tried looking at stackoverflow links provided in the previous piazza post, but were unable to get the title. Is there a good way to go about getting the title of these articles?</p>",XML calls in python,"<p>If we are writing a python script to misspell a bunch of sentences and submit that as a hit, how do we get the results of our script (i.e. misspelled paragraphs) and then automatically put that into a hit?</p>",python integration,"<p>I&#39;m running Python 2.7.6, and I directly installed pip with &#34;sudo easy_install pip&#34;. When I follow the instructions to set up the virtualenv, I don&#39;t get anything output. </p>
<p></p>
<p><img src=""https://d1b10bmlvqabco.cloudfront.net/attach/ijblb017ius5zp/hkwvkcmmpdngk/ijwe6f3q6wx/Screen_Shot_20160127_at_12.27.55_AM.png"" /></p>",Setting up python notebook/virtualenv,"<p>I downloaded the newest version of Python (3.5) on Windows but when I go to the command prompt and type in &#34;python --version&#34; as the instructions require, I get a response saying &#34; &#39;python&#39; is not recognized as an internal or external command, operable program or batch file.&#34; However, I am able to open the Python application with no issue. What might be the issue here? Thanks for the help!</p>",Python on Windows,,,Sorry class was rushed; here is the solution to the first problem on the Python assignment.,Sorry class was rushed; here is the solution to the first problem on the Python assignment.,1
945665604,5/3/2016 18:37:01,false,1975246250,,5/3/2016 18:34:21,false,neodev,0.8571,11075499,VEN,20,San Cristóbal,190.206.158.41,0,,"<p>My partner and I are having trouble finding the title for our articles. We managed to get the url (given), and the date (changed the xpath to //entry//url), but we cannot access the title. When we try to look at subchildren, it&#39;s empty. We&#39;ve also tried looking at stackoverflow links provided in the previous piazza post, but were unable to get the title. Is there a good way to go about getting the title of these articles?</p>",XML calls in python,"<p>If we are writing a python script to misspell a bunch of sentences and submit that as a hit, how do we get the results of our script (i.e. misspelled paragraphs) and then automatically put that into a hit?</p>",python integration,"<p>I&#39;m running Python 2.7.6, and I directly installed pip with &#34;sudo easy_install pip&#34;. When I follow the instructions to set up the virtualenv, I don&#39;t get anything output. </p>
<p></p>
<p><img src=""https://d1b10bmlvqabco.cloudfront.net/attach/ijblb017ius5zp/hkwvkcmmpdngk/ijwe6f3q6wx/Screen_Shot_20160127_at_12.27.55_AM.png"" /></p>",Setting up python notebook/virtualenv,"<p>I downloaded the newest version of Python (3.5) on Windows but when I go to the command prompt and type in &#34;python --version&#34; as the instructions require, I get a response saying &#34; &#39;python&#39; is not recognized as an internal or external command, operable program or batch file.&#34; However, I am able to open the Python application with no issue. What might be the issue here? Thanks for the help!</p>",Python on Windows,,,Sorry class was rushed; here is the solution to the first problem on the Python assignment.,Sorry class was rushed; here is the solution to the first problem on the Python assignment.,1
945665605,5/3/2016 18:03:15,false,1975195314,,5/3/2016 18:01:46,false,clixsense,0.8889,32951789,IND,19,Bangalore,117.192.233.160,0,,Are we expected to do the to do comment it is not mention on the hw page?,Are we expected to do the to do comment it is not mention on the hw page?,In hw5 we only had 2 workers judge each url so we cant really figure out a majority vote from our data. What do we do?,Majority Votes,"<p>Hi Ellie, I recorded my video with Quicktime but there is no option for &#34;file save as&#34; and exporting does not seem to work. The progress bar is just stagnant. What should I do?</p>
<p></p>
<p>Thanks!</p>",Quicktime,"Following the bash commands given on the hw page leaves us with a file of the form, 
1, articleurl
is this the format needed? There are no articles that were labeled as not gun related by our classifier in our sample.txt. Also do we need to have all of the articles we found classified on mturk or only 500?",CSV and 1&#39;s for crowdflower,"Hi Ellie,

It was stated in lecture today that you will be going over Assignment 7 during lecture on Friday. I can&#39;t make the lecture because I will be leaving for NY to get my passport renewed Friday morning. I was just wondering if this session would be recorded?",Review Session on Friday 3/18,"Please sign up for a CrowdFlower Customer if you would like a $100 free credit.  You can sign up here https://make.crowdflower.com/users/new.  You then must fill out this Google form before Wednesday.  https://docs.google.com/forms/d/1shp2S5Jl3r5bEx6hT_as8xQJZ5piiy2KRIEYQS_8U74/viewform.  If you do not submit before Wednesday at 2 p.m., you will not receive the free credit and you will have to pay with your own money.","Please sign up for a CrowdFlower Customer if you would like a $100 free credit.  You can sign up here https://make.crowdflower.com/users/new.  You then must fill out this Google form before Wednesday.  https://docs.google.com/forms/d/1shp2S5Jl3r5bEx6hT_as8xQJZ5piiy2KRIEYQS_8U74/viewform.  If you do not submit before Wednesday at 2 p.m., you will not receive the free credit and you will have to pay with your own money.",1
945665605,5/3/2016 18:03:24,false,1975195567,,5/3/2016 18:01:55,false,clixsense,0.7778,31591485,TUR,34,Istanbul,46.197.10.250,0,,Are we expected to do the to do comment it is not mention on the hw page?,Are we expected to do the to do comment it is not mention on the hw page?,In hw5 we only had 2 workers judge each url so we cant really figure out a majority vote from our data. What do we do?,Majority Votes,"<p>Hi Ellie, I recorded my video with Quicktime but there is no option for &#34;file save as&#34; and exporting does not seem to work. The progress bar is just stagnant. What should I do?</p>
<p></p>
<p>Thanks!</p>",Quicktime,"Following the bash commands given on the hw page leaves us with a file of the form, 
1, articleurl
is this the format needed? There are no articles that were labeled as not gun related by our classifier in our sample.txt. Also do we need to have all of the articles we found classified on mturk or only 500?",CSV and 1&#39;s for crowdflower,"Hi Ellie,

It was stated in lecture today that you will be going over Assignment 7 during lecture on Friday. I can&#39;t make the lecture because I will be leaving for NY to get my passport renewed Friday morning. I was just wondering if this session would be recorded?",Review Session on Friday 3/18,"Please sign up for a CrowdFlower Customer if you would like a $100 free credit.  You can sign up here https://make.crowdflower.com/users/new.  You then must fill out this Google form before Wednesday.  https://docs.google.com/forms/d/1shp2S5Jl3r5bEx6hT_as8xQJZ5piiy2KRIEYQS_8U74/viewform.  If you do not submit before Wednesday at 2 p.m., you will not receive the free credit and you will have to pay with your own money.","Please sign up for a CrowdFlower Customer if you would like a $100 free credit.  You can sign up here https://make.crowdflower.com/users/new.  You then must fill out this Google form before Wednesday.  https://docs.google.com/forms/d/1shp2S5Jl3r5bEx6hT_as8xQJZ5piiy2KRIEYQS_8U74/viewform.  If you do not submit before Wednesday at 2 p.m., you will not receive the free credit and you will have to pay with your own money.",1
945665605,5/3/2016 18:04:29,false,1975197563,,5/3/2016 18:02:49,false,gifthunterclub,0.8889,30901412,GBR,H9,London,78.149.196.190,0,,Are we expected to do the to do comment it is not mention on the hw page?,Are we expected to do the to do comment it is not mention on the hw page?,In hw5 we only had 2 workers judge each url so we cant really figure out a majority vote from our data. What do we do?,Majority Votes,"<p>Hi Ellie, I recorded my video with Quicktime but there is no option for &#34;file save as&#34; and exporting does not seem to work. The progress bar is just stagnant. What should I do?</p>
<p></p>
<p>Thanks!</p>",Quicktime,"Following the bash commands given on the hw page leaves us with a file of the form, 
1, articleurl
is this the format needed? There are no articles that were labeled as not gun related by our classifier in our sample.txt. Also do we need to have all of the articles we found classified on mturk or only 500?",CSV and 1&#39;s for crowdflower,"Hi Ellie,

It was stated in lecture today that you will be going over Assignment 7 during lecture on Friday. I can&#39;t make the lecture because I will be leaving for NY to get my passport renewed Friday morning. I was just wondering if this session would be recorded?",Review Session on Friday 3/18,"Please sign up for a CrowdFlower Customer if you would like a $100 free credit.  You can sign up here https://make.crowdflower.com/users/new.  You then must fill out this Google form before Wednesday.  https://docs.google.com/forms/d/1shp2S5Jl3r5bEx6hT_as8xQJZ5piiy2KRIEYQS_8U74/viewform.  If you do not submit before Wednesday at 2 p.m., you will not receive the free credit and you will have to pay with your own money.","Please sign up for a CrowdFlower Customer if you would like a $100 free credit.  You can sign up here https://make.crowdflower.com/users/new.  You then must fill out this Google form before Wednesday.  https://docs.google.com/forms/d/1shp2S5Jl3r5bEx6hT_as8xQJZ5piiy2KRIEYQS_8U74/viewform.  If you do not submit before Wednesday at 2 p.m., you will not receive the free credit and you will have to pay with your own money.",1
945665606,5/3/2016 18:05:41,false,1975199378,,5/3/2016 18:04:30,false,gifthunterclub,0.8889,30901412,GBR,H9,London,78.149.196.190,0,,In hw5 we only had 2 workers judge each url so we cant really figure out a majority vote from our data. What do we do?,Majority Votes,<p>One of the video links for the peer review assignment we are supposed to do is broken (iStockPhoto). What should I do?</p>,Video link broken,"<p>Hi Ellie, I recorded my video with Quicktime but there is no option for &#34;file save as&#34; and exporting does not seem to work. The progress bar is just stagnant. What should I do?</p>
<p></p>
<p>Thanks!</p>",Quicktime,"Following the bash commands given on the hw page leaves us with a file of the form, 
1, articleurl
is this the format needed? There are no articles that were labeled as not gun related by our classifier in our sample.txt. Also do we need to have all of the articles we found classified on mturk or only 500?",CSV and 1&#39;s for crowdflower,"<p>I&#39;m running the get_clean_text function and it has almost taken me 2 hours at this point (on my local computer, not biglab). Is it stuck somewhere? Not sure what to think. I feel as if the character decoding shouldn&#39;t be causing this. <img src=""https://d1b10bmlvqabco.cloudfront.net/attach/ijblb017ius5zp/ids2xp8h6vn62d/ikjdw92f8b8r/Screen_Shot_20160212_at_2.37.58_AM.png"" /></p>",get_clean_text taking very long,No Sentence,No Sentence,5
945665606,5/3/2016 18:05:50,false,1975199611,,5/3/2016 18:04:46,false,neodev,0.8889,33519110,VEN,25,Caracas,190.77.58.123,0,,In hw5 we only had 2 workers judge each url so we cant really figure out a majority vote from our data. What do we do?,Majority Votes,<p>One of the video links for the peer review assignment we are supposed to do is broken (iStockPhoto). What should I do?</p>,Video link broken,"<p>Hi Ellie, I recorded my video with Quicktime but there is no option for &#34;file save as&#34; and exporting does not seem to work. The progress bar is just stagnant. What should I do?</p>
<p></p>
<p>Thanks!</p>",Quicktime,"Following the bash commands given on the hw page leaves us with a file of the form, 
1, articleurl
is this the format needed? There are no articles that were labeled as not gun related by our classifier in our sample.txt. Also do we need to have all of the articles we found classified on mturk or only 500?",CSV and 1&#39;s for crowdflower,"<p>I&#39;m running the get_clean_text function and it has almost taken me 2 hours at this point (on my local computer, not biglab). Is it stuck somewhere? Not sure what to think. I feel as if the character decoding shouldn&#39;t be causing this. <img src=""https://d1b10bmlvqabco.cloudfront.net/attach/ijblb017ius5zp/ids2xp8h6vn62d/ikjdw92f8b8r/Screen_Shot_20160212_at_2.37.58_AM.png"" /></p>",get_clean_text taking very long,No Sentence,No Sentence,5
945665606,5/3/2016 18:07:16,false,1975201993,,5/3/2016 18:06:03,false,clixsense,0.8889,32951789,IND,19,Bangalore,117.192.233.160,0,,In hw5 we only had 2 workers judge each url so we cant really figure out a majority vote from our data. What do we do?,Majority Votes,<p>One of the video links for the peer review assignment we are supposed to do is broken (iStockPhoto). What should I do?</p>,Video link broken,"<p>Hi Ellie, I recorded my video with Quicktime but there is no option for &#34;file save as&#34; and exporting does not seem to work. The progress bar is just stagnant. What should I do?</p>
<p></p>
<p>Thanks!</p>",Quicktime,"Following the bash commands given on the hw page leaves us with a file of the form, 
1, articleurl
is this the format needed? There are no articles that were labeled as not gun related by our classifier in our sample.txt. Also do we need to have all of the articles we found classified on mturk or only 500?",CSV and 1&#39;s for crowdflower,"<p>I&#39;m running the get_clean_text function and it has almost taken me 2 hours at this point (on my local computer, not biglab). Is it stuck somewhere? Not sure what to think. I feel as if the character decoding shouldn&#39;t be causing this. <img src=""https://d1b10bmlvqabco.cloudfront.net/attach/ijblb017ius5zp/ids2xp8h6vn62d/ikjdw92f8b8r/Screen_Shot_20160212_at_2.37.58_AM.png"" /></p>",get_clean_text taking very long,No Sentence,No Sentence,5
945665607,5/3/2016 18:05:41,false,1975199385,,5/3/2016 18:04:30,false,gifthunterclub,0.8889,30901412,GBR,H9,London,78.149.196.190,0,,In hw5 we only had 2 workers judge each url so we cant really figure out a majority vote from our data. What do we do?,Majority Votes,"<p>I&#39;ve already started my OH in the GRW bump space so feel free to come on by early if you&#39;d like. I&#39;ll be here till 5 unless it get&#39;s crowded in which case find me near the study space next to the elevators on the 5th floor of Levine.</p>
<p></p>",Starting OH early,"<p>Hi Ellie, I recorded my video with Quicktime but there is no option for &#34;file save as&#34; and exporting does not seem to work. The progress bar is just stagnant. What should I do?</p>
<p></p>
<p>Thanks!</p>",Quicktime,"Following the bash commands given on the hw page leaves us with a file of the form, 
1, articleurl
is this the format needed? There are no articles that were labeled as not gun related by our classifier in our sample.txt. Also do we need to have all of the articles we found classified on mturk or only 500?",CSV and 1&#39;s for crowdflower,"Hi Ellie,

It was stated in lecture today that you will be going over Assignment 7 during lecture on Friday. I can&#39;t make the lecture because I will be leaving for NY to get my passport renewed Friday morning. I was just wondering if this session would be recorded?",Review Session on Friday 3/18,No sentence,No sentence,2
