user_question_title,user_question_body
Invalid config file,"<p>When I try to submit the homework, it does this marvelous thing where it tells me that net213 is an invalid config file.</p>
<p></p>
<p>What to do now? Somewhat concerned.</p>
<p></p>
<p><img src=""https://d1b10bmlvqabco.cloudfront.net/attach/ijblb017ius5zp/hqh2r7yc6p926r/ikaaipxq9b3g/image.png"" /></p>"
Hourly Wage on CrowdFlower,<p>How can we find hourly wage through CrowdFlower? Do we need to estimate it or there is a section that gives a precise number?</p>
Majority Votes,In hw5 we only had 2 workers judge each url so we cant really figure out a majority vote from our data. What do we do?
Starting OH early,"<p>I&#39;ve already started my OH in the GRW bump space so feel free to come on by early if you&#39;d like. I&#39;ll be here till 5 unless it get&#39;s crowded in which case find me near the study space next to the elevators on the 5th floor of Levine.</p>
<p></p>"
Question about grade,"<p>I got .5 points off &#34;for not using the crawler to collect URLs in addition to the Bing API&#34; -- my collected URLs included URLs from the Gun Violence Archive, and I collected the rest using the Bing API. </p>
<p></p>
<p>The instructions didn&#39;t specify that we necessarily needed to use other methods to get 2500 URLs. The homework says to &#34;turn in a list of at least 2,500 urls, including some crawled from the Gun Violence Archive and some obtained using the Bing API.&#34; </p>
<p></p>
<p>Am I understanding correctly why I got the points off? If so, I&#39;m confused why I got points off given the instructions. Thank you! </p>"
Looking for a partner for homeworks and/or final project?,"<p>Hi everyone,</p>
<p></p>
<p>I&#39;m looking for a partner to collaborate with on upcoming assignments and/or the final project. E-mail me at <a href=""mailto:hcutler&#64;seas.upenn.edu"">hcutler&#64;seas.upenn.edu</a> if you&#39;re interested!</p>
<p></p>
<p>Have a great day.</p>
<p></p>
<p>Hannah Cutler</p>
<p>SEAS &#39;17</p>"
Video link broken,<p>One of the video links for the peer review assignment we are supposed to do is broken (iStockPhoto). What should I do?</p>
Print out xml file,"<p>In the bing_api.py, I am trying to print out the xml response that we receive.</p>
<p>Any ideas how to do this?</p>"
Quicktime,"<p>Hi Ellie, I recorded my video with Quicktime but there is no option for &#34;file save as&#34; and exporting does not seem to work. The progress bar is just stagnant. What should I do?</p>
<p></p>
<p>Thanks!</p>"
CSV and 1&#39;s for crowdflower,"Following the bash commands given on the hw page leaves us with a file of the form, 
1, articleurl
is this the format needed? There are no articles that were labeled as not gun related by our classifier in our sample.txt. Also do we need to have all of the articles we found classified on mturk or only 500?"
Review Session on Friday 3/18,"Hi Ellie,

It was stated in lecture today that you will be going over Assignment 7 during lecture on Friday. I can&#39;t make the lecture because I will be leaving for NY to get my passport renewed Friday morning. I was just wondering if this session would be recorded?"
get_clean_text taking very long,"<p>I&#39;m running the get_clean_text function and it has almost taken me 2 hours at this point (on my local computer, not biglab). Is it stuck somewhere? Not sure what to think. I feel as if the character decoding shouldn&#39;t be causing this. <img src=""https://d1b10bmlvqabco.cloudfront.net/attach/ijblb017ius5zp/ids2xp8h6vn62d/ikjdw92f8b8r/Screen_Shot_20160212_at_2.37.58_AM.png"" /></p>"
Slides for today&#39;s lecture,"<p>The slides for today&#39;s lecture topics are now online:</p>
<p><a href=""http://crowdsourcing-class.org/slides/machine-learning-part-2.pdf"">Machine Learning - part 2</a></p>
<p><a href=""http://crowdsourcing-class.org/slides/amazon-mechanical-turk.pdf"">The Amazon Mechanical Turk crowdsourcing platform</a></p>
<p></p>
<p>Please post any questions that you have about either topic to this thread. </p>"
Error preparing input data for part 2,"<p>When I use the command</p>
<pre><code> cat articles_and_urls.txt | cut -f 1 &gt; urls.txt 
 cat articles_and_urls.txt | cut -f 2 &gt; unlabelled_articles.txt </code></pre>
<p></p>
<p>I get this error</p>
<p>cut: stdin: Illegal byte sequence</p>
<p></p>
<p>I tried looking it up but nothing has really helped.</p>"
get_misclassified_examples,"<p>The questionnaire says to &#34;Find an example of an article that the classifier wrongly classifies as gun violence, but which is actually not gun violence (a &#34;false positive&#34;),&#34; and it looks like there&#39;s a function stub, <tt>get_misclassified_examples</tt>, that we&#39;re supposed to fill out to do this. However, I&#39;m having trouble figuring out how exactly we can get the misclassified examples using just the LogisticRegression object — we can test the overall accuracy using the <tt>score()</tt> function, but I don&#39;t see any functions that would tell us whether or not something is right for a specific example. Are we supposed to use the LogisticRegression functions to do this question?</p>"
XPath,<p>I&#39;m having trouble determining the xpath for the material we want. Can someone point me in the right direction on how we should go about doing this? Thank you!</p>
quicktime,<p>I recorded my video with QuickTime but there is no option for &#34;file save as&#34; and exporting does not seem to work. The progress bar is just stagnant. Has anyone else had this problem?</p>
Incompatible shapes,"File &#34;predict_unlabelled.py&#34;, line 71, in 
    clf = train_classifier(X,y) 
  File &#34;predict_unlabelled.py&#34;, line 45, in train_classifier
    clf.fit(X,y)
  File &#34;/usr/lib64/python2.7/site-packages/sklearn/svm/base.py&#34;, line 687, in fit
    (X.shape[0], y_ind.shape[0]))
ValueError: X and y have incompatible shapes.
X has 1 samples, but y has 71667."
arguments error,"<p>Any idea why this may be happening? I&#39;m passing in two files to the command line. </p>
<p></p>
<p><img src=""https://d1b10bmlvqabco.cloudfront.net/attach/ijblb017ius5zp/ids2xp8h6vn62d/im31vxiahonb/Screen_Shot_20160322_at_2.36.08_AM.png"" /><img src=""https://d1b10bmlvqabco.cloudfront.net/attach/ijblb017ius5zp/ids2xp8h6vn62d/im31w6viylwz/Screen_Shot_20160322_at_2.35.49_AM.png"" /></p>"
